province,year,unemployment_rate,absorption_rate,employed,labour_force,working_age_population,constant_price_growth_pct,constant_price_rand,current_price_pct,current_price_rand,gdp_per_employed_person
North West,2014,26.425,37.95,904.4622868207393,1229.1226805700692,2383.65233144439,-2.2136272262840206,268416.0796075547,6.386521755577116,264010.571122428,296768.6807053721
North West,2015,25.724999999999998,38.525,935.7095252176659,1259.5109252439988,2427.998672040909,4.084360859580705,279379.490903867,6.319665081557998,279379.2845289393,298575.020745757
North West,2016,28.1,37.375,924.3136619205937,1285.3010802012286,2473.2470664796165,-2.4726431988877584,272471.1110826675,6.191821028480706,294703.443533268,294782.0878428983
North West,2017,25.95,39.075,984.0582696568237,1329.0949154224213,2517.5472427234427,1.4147370119567793,276325.86073804385,6.194554444693309,314571.2396852368,280802.3358559941
North West,2018,26.625,38.25,980.3136431260658,1336.5391731795746,2561.2454697898033,1.1099544340257728,279392.5,6.217656885777041,333464.77885289676,285003.1741974551
North West,2019,29.65,36.875,959.9576546861438,1365.3266063867009,2604.077718543011,-0.16986286836457865,278918.106699959,6.243834481715596,351228.5868403826,290552.5106637654
North West,2020,29.1,35.15,929.469069253684,1319.9461969195472,2645.758535343209,-5.55315288112811,263429.60366655776,6.520202574266893,362703.2070363894,283419.44060395495
North West,2021,34.225,33.7,905.322436958304,1376.8423148484337,2686.8352068727713,7.073461806731562,282063.5624925718,6.7965907093318565,421853.6511222458,311561.4404081787
North West,2022,34.575,32.8,894.9916035637057,1369.7778498447306,2726.8817333327497,0.7435393493145037,284160.81606978236,6.666067175175131,444398.7661287464,317501.09714806476
North West,2023,38.1,32.65,902.8112362508763,1458.6478252365619,2765.72468626464,0.37234782796238264,285218.8826963384,6.3305463573082275,445523.2427966427,315923.05372801184
North West,2024,39.974999999999994,32.775000000000006,919.2053950013882,1531.3256523125706,2803.0594994805297,-0.12863657874504497,284851.986883703,6.253730408773732,459802.36914256064,309889.3766645841
Northern Cape,2013,27.9,41.5,310.4538920970807,430.4445155618605,747.7083400416084,,90905.32452685529,2.1479225478830184,83095.17520708515,292814.25306927273
Northern Cape,2014,29.924999999999997,40.525,307.00767588771816,438.20742050876237,757.6407945521066,2.438075510798865,93121.66498215678,2.1865933058770284,90391.01515807296,303320.3150797251
Northern Cape,2015,31.85,39.7,304.5602051877309,447.66899145041214,767.1548373632522,1.953884847467502,94941.1750839526,2.1476046851701414,94941.14840749027,311732.0433424021
Northern Cape,2016,29.2,39.325,305.32057289170405,431.3822491487781,776.4904164602942,-0.31304204732538476,94643.94934832343,2.1197548357703617,100890.999731524,309982.2211518424
Northern Cape,2017,29.55,38.775000000000006,304.65908073439977,432.28366657606875,786.1144109100101,1.928656992232014,96469.3064951544,2.096056240158269,106441.516801992,316646.74580717925
Northern Cape,2018,27.6,40.325,320.78783920792847,443.2606075703404,795.0843068210118,1.2007353161139989,97627.5,2.1058737204022058,112942.0177675642,304336.66139295185
Northern Cape,2019,28.025,39.825,319.77686209759185,444.2667994368123,803.2729472332276,-0.21103496041104952,97421.61906014217,2.121640634728556,119346.66815736801,304654.9973037459
Northern Cape,2020,25.975,36.525,296.3707937292319,401.22052323203724,811.4520932594053,-5.246862213534042,92310.04094186249,2.207171396429747,122779.64293986154,311468.0761229061
Northern Cape,2021,25.35,33.9,277.31228489400075,371.0652624483669,818.2895440941031,5.658556876801413,97533.87609909543,2.2743668406751447,141166.3577759409,351711.34281474963
Northern Cape,2022,24.275,39.325,324.7498595173688,429.03709710873324,826.0825375894294,1.2454631195747634,98748.62455500141,2.295783866241874,153050.29047046287,304075.9577286899
Northern Cape,2023,26.675,39.5,329.19615861461,448.9592364670365,833.5255737283729,0.5713200279400477,99312.79522439945,2.235354446425265,157316.968482755,301682.7281410199
Northern Cape,2024,29.525,39.775,334.15216631330895,473.92793035184144,840.3955767789721,-0.050754446397183184,99262.38956498174,2.23940232326912,164650.92455183115,297057.44739033346
Western Cape,2013,22.700000000000003,52.25,2140.6499425427683,2768.0063358916536,4096.224327666688,,603096.7912276428,14.051505488886946,543600.7511877802,281735.3642189881
Western Cape,2014,22.725,52.4,2195.165147683254,2841.588770363437,4188.079770810674,1.7543754594602223,613677.3733297326,14.009034792993546,579115.566183241,279558.63547551254
Western Cape,2015,20.675,53.8,2303.789952235742,2904.179201056695,4281.452792143315,1.411236541390748,622337.8126684086,14.07751738173697,622337.8427965331,270136.52527846687
Western Cape,2016,21.325,53.275,2330.6254144395557,2961.7433312307257,4376.744138924835,1.1255717209233351,629342.671096417,13.984872261809443,665617.499949491,270031.66926666105
Western Cape,2017,20.9,54.225,2424.9784283710205,3065.6081469027345,4471.052027729513,0.8192625419872757,634498.6398614522,13.978051171833206,709831.886265632,261651.25117738746
Western Cape,2018,20.025,54.925,2506.001525121307,3132.858882943931,4562.558053540227,1.7160443132107295,645386.5,13.922074534488706,746667.3686090079,257536.35563679834
Western Cape,2019,20.575,53.875,2507.114520573193,3157.1317080063527,4652.806412594338,0.35903695481924736,647704.0952242636,13.838099313145115,778421.6702966429,258346.43368272675
Western Cape,2020,20.4,48.7,2308.532688626514,2905.4565042202603,4739.4540555808735,-5.925421018653276,609324.9006271671,13.820360091139607,768793.4340011929,263944.6708418461
Western Cape,2021,25.95,46.875,2263.314544566241,3057.607329792142,4827.7120101256,4.537376990357878,636972.7271962232,13.723059272077455,851768.6154830952,281433.58541368705
Western Cape,2022,24.925,49.225,2416.343399387816,3217.9638381028863,4908.897223970122,3.1083889485864935,656772.3170539006,13.895454126211382,926351.7012675023,271804.21343269944
Western Cape,2023,20.75,54.45,2714.8584421014507,3424.9335306813473,4987.508480827031,0.7638066138247357,661788.7874493282,14.100248865960962,992329.610184505,243765.4859592116
Western Cape,2024,20.7,54.175,2743.9028043101525,3460.38676100057,5062.980963752973,0.7499296456895399,666751.7377582601,14.163908173164863,1041394.1933285082,242993.93430077744
