province,date,year,quarter,quarter_label,projected_rate,projected_rate_upper,projected_rate_lower,is_projection,scenario
Gauteng,2026-07-01,2026,3,Q3 2026,36.01,38.64,33.38,True,Optimistic
Gauteng,2026-07-01,2026,3,Q3 2026,36.19,41.07,31.3,True,Pessimistic
Gauteng,2026-10-01,2026,4,Q4 2026,36.25,40.02,32.49,True,Baseline
Gauteng,2026-10-01,2026,4,Q4 2026,36.15,38.79,33.51,True,Optimistic
Gauteng,2026-10-01,2026,4,Q4 2026,36.41,41.31,31.51,True,Pessimistic
Gauteng,2027-01-01,2027,1,Q1 2027,36.43,40.21,32.65,True,Baseline
Gauteng,2027-01-01,2027,1,Q1 2027,36.29,38.93,33.64,True,Optimistic
Gauteng,2027-01-01,2027,1,Q1 2027,36.63,41.55,31.72,True,Pessimistic
Gauteng,2027-04-01,2027,2,Q2 2027,36.6,40.39,32.81,True,Baseline
Gauteng,2027-04-01,2027,2,Q2 2027,36.43,39.08,33.77,True,Optimistic
Gauteng,2027-04-01,2027,2,Q2 2027,36.86,41.79,31.93,True,Pessimistic
Gauteng,2027-07-01,2027,3,Q3 2027,36.77,40.58,32.97,True,Baseline
Gauteng,2027-07-01,2027,3,Q3 2027,36.57,39.23,33.9,True,Optimistic
Gauteng,2027-07-01,2027,3,Q3 2027,37.08,42.03,32.14,True,Pessimistic
Gauteng,2027-10-01,2027,4,Q4 2027,36.95,40.76,33.13,True,Baseline
Gauteng,2027-10-01,2027,4,Q4 2027,36.7,39.37,34.03,True,Optimistic
Gauteng,2027-10-01,2027,4,Q4 2027,37.31,42.27,32.35,True,Pessimistic
Gauteng,2028-01-01,2028,1,Q1 2028,37.12,40.95,33.29,True,Baseline
Gauteng,2028-01-01,2028,1,Q1 2028,36.84,39.52,34.16,True,Optimistic
Gauteng,2028-01-01,2028,1,Q1 2028,37.53,42.51,32.56,True,Pessimistic
Mpumalanga,2026-04-01,2026,2,Q2 2026,37.38,45.36,29.4,True,Baseline
Mpumalanga,2026-04-01,2026,2,Q2 2026,37.34,42.93,31.75,True,Optimistic
Mpumalanga,2026-04-01,2026,2,Q2 2026,37.44,47.81,27.06,True,Pessimistic
Mpumalanga,2026-07-01,2026,3,Q3 2026,37.57,45.58,29.57,True,Baseline
Mpumalanga,2026-07-01,2026,3,Q3 2026,37.49,43.1,31.89,True,Optimistic
Mpumalanga,2026-07-01,2026,3,Q3 2026,37.69,48.09,27.28,True,Pessimistic
Mpumalanga,2026-10-01,2026,4,Q4 2026,37.76,45.79,29.74,True,Baseline
Mpumalanga,2026-10-01,2026,4,Q4 2026,37.65,43.27,32.03,True,Optimistic
Mpumalanga,2026-10-01,2026,4,Q4 2026,37.94,48.37,27.5,True,Pessimistic
Mpumalanga,2027-01-01,2027,1,Q1 2027,37.96,46.01,29.9,True,Baseline
Mpumalanga,2027-01-01,2027,1,Q1 2027,37.8,43.44,32.17,True,Optimistic
Mpumalanga,2027-01-01,2027,1,Q1 2027,38.19,48.66,27.72,True,Pessimistic
Mpumalanga,2027-04-01,2027,2,Q2 2027,38.15,46.23,30.07,True,Baseline
Mpumalanga,2027-04-01,2027,2,Q2 2027,37.96,43.61,32.3,True,Optimistic
Mpumalanga,2027-04-01,2027,2,Q2 2027,38.44,48.94,27.94,True,Pessimistic
Mpumalanga,2027-07-01,2027,3,Q3 2027,38.34,46.45,30.24,True,Baseline
Mpumalanga,2027-07-01,2027,3,Q3 2027,38.11,43.78,32.44,True,Optimistic
Mpumalanga,2027-07-01,2027,3,Q3 2027,38.69,49.22,28.15,True,Pessimistic
Mpumalanga,2027-10-01,2027,4,Q4 2027,38.53,46.66,30.4,True,Baseline
Mpumalanga,2027-10-01,2027,4,Q4 2027,38.26,43.96,32.57,True,Optimistic
Mpumalanga,2027-10-01,2027,4,Q4 2027,38.94,49.51,28.37,True,Pessimistic
Mpumalanga,2028-01-01,2028,1,Q1 2028,38.73,46.89,30.57,True,Baseline
Mpumalanga,2028-01-01,2028,1,Q1 2028,38.42,44.13,32.71,True,Optimistic
Mpumalanga,2028-01-01,2028,1,Q1 2028,39.19,49.8,28.58,True,Pessimistic
Limpopo,2026-04-01,2026,2,Q2 2026,35.28,42.1,28.46,True,Baseline
Limpopo,2026-04-01,2026,2,Q2 2026,35.2,39.97,30.42,True,Optimistic
Limpopo,2026-04-01,2026,2,Q2 2026,35.4,44.27,26.53,True,Pessimistic
Limpopo,2026-07-01,2026,3,Q3 2026,35.68,42.52,28.84,True,Baseline
Limpopo,2026-07-01,2026,3,Q3 2026,35.52,40.31,30.73,True,Optimistic
Limpopo,2026-07-01,2026,3,Q3 2026,35.92,44.82,27.03,True,Pessimistic
Limpopo,2026-10-01,2026,4,Q4 2026,36.08,42.94,29.22,True,Baseline
Limpopo,2026-10-01,2026,4,Q4 2026,35.84,40.64,31.04,True,Optimistic
Limpopo,2026-10-01,2026,4,Q4 2026,36.45,45.36,27.53,True,Pessimistic
Limpopo,2027-01-01,2027,1,Q1 2027,36.49,43.37,29.6,True,Baseline
Limpopo,2027-01-01,2027,1,Q1 2027,36.16,40.98,31.35,True,Optimistic
Limpopo,2027-01-01,2027,1,Q1 2027,36.97,45.91,28.02,True,Pessimistic
