province,date,working_age_population,labour_force,employed,unemployed,outside_labour_force,participation_rate,absorption_rate,inactivity_rate,unemployment_rate,year,quarter,quarter_label,unemployment_rate_qoq,unemployment_rate_yoy
Gauteng,2015-10-01,9636.03049951984,7025.6030337642205,5089.693156901969,1935.9098768622644,2610.4274657555243,72.9,52.8,27.09027815849388,27.6,2015,4,Q4 2015,-1.0,3.0
Gauteng,2016-01-01,9691.739604192553,7010.761727603913,4895.4555193868555,2115.306208217078,2680.97787658854,72.3,50.5,27.662504215745777,30.2,2016,1,Q1 2016,2.599999999999998,1.8000000000000007
Gauteng,2016-04-01,9747.909910663942,7007.758434783223,4941.678261352278,2066.0801734309343,2740.1514758806015,71.9,50.7,28.110143620467127,29.5,2016,2,Q2 2016,-0.6999999999999993,2.6999999999999993
Gauteng,2016-07-01,9802.14208737922,7145.4174114780235,5067.883082578281,2077.5343288997246,2656.72467590121,72.9,51.7,27.10351117354123,29.1,2016,3,Q3 2016,-0.3999999999999986,0.5
Gauteng,2016-10-01,9853.59108731489,7162.764680476039,5111.4768591000275,2051.2878213760096,2690.8264068388457,72.7,51.9,27.30807867905997,28.6,2016,4,Q4 2016,-0.5,1.0
Gauteng,2017-01-01,9905.287735664575,7335.674646528786,5192.970817508274,2142.703829020491,2569.6130891357684,74.1,52.4,25.941831854974183,29.2,2017,1,Q1 2017,0.5999999999999979,-1.0
Gauteng,2017-04-01,9957.230950698246,7201.364592172075,5050.3019380513915,2151.0626541206775,2755.866358526269,72.3,50.7,27.677035635413027,29.9,2017,2,Q2 2017,0.6999999999999993,0.3999999999999986
Gauteng,2017-07-01,10008.759186126474,7259.417825202231,5067.941221428801,2191.4766037733957,2749.3413609241916,72.5,50.6,27.469352691941218,30.2,2017,3,Q3 2017,0.3000000000000007,1.0999999999999979
Gauteng,2017-10-01,10058.75689698854,7042.909335396167,4990.751318713701,2052.1580166824497,3015.8475615922875,70.0,49.6,29.98230887253886,29.1,2017,4,Q4 2017,-1.0999999999999979,0.5
Gauteng,2018-01-01,10108.999794468806,7097.451673413358,5068.743349952841,2028.7083234604931,3011.5481210555045,70.2,50.1,29.790762511486612,28.6,2018,1,Q1 2018,-0.5,-0.5999999999999979
Gauteng,2018-04-01,10159.486961134144,7194.698768875652,5054.961843859267,2139.736925016378,2964.788192258462,70.8,49.8,29.182459740363814,29.7,2018,2,Q2 2018,1.0999999999999979,-0.1999999999999993
Gauteng,2018-07-01,10210.11266657593,7216.451348623828,5077.294569938602,2139.1567786852315,2993.6613179521437,70.7,49.7,29.320551258481103,29.6,2018,3,Q3 2018,-0.09999999999999787,-0.5999999999999979
Gauteng,2018-10-01,10259.750474948609,7275.722842324545,5163.143248912524,2112.579593412022,2984.0276326241083,70.9,50.3,29.084797334105723,29.0,2018,4,Q4 2018,-0.6000000000000014,-0.10000000000000142
Gauteng,2019-01-01,10309.591834177929,7263.215941549222,5161.617125918575,2101.598815630609,3046.37589262868,70.5,50.1,29.548947636593827,28.9,2019,1,Q1 2019,-0.10000000000000142,0.29999999999999716
Gauteng,2019-04-01,10359.634812716491,7357.733301895074,5065.933119329196,2291.800182565883,3001.9015108214567,71.0,48.9,28.976904737381844,31.1,2019,2,Q2 2019,2.200000000000003,1.4000000000000021
Gauteng,2019-07-01,10409.652678644878,7331.5305149681635,5060.377653079437,2271.152861888697,3078.122163676665,70.4,48.6,29.569883440889715,31.0,2019,3,Q3 2019,-0.10000000000000142,1.3999999999999986
Gauteng,2019-10-01,10458.532097181553,7369.1280183487725,5098.240362645695,2270.887655703056,3089.4040788327675,70.5,48.7,29.53955727367228,30.8,2019,4,Q4 2019,-0.1999999999999993,1.8000000000000007
Gauteng,2020-01-01,10507.841040116688,7487.815220539918,5134.270898685125,2353.5443218548066,3020.0258195768506,71.3,48.9,28.740688101835115,31.4,2020,1,Q1 2020,0.5999999999999979,2.5
Gauteng,2020-04-01,10557.310999999994,6081.162371633669,4473.199690577073,1607.9626810565755,4476.148628366335,57.6,42.4,42.39856747961746,26.4,2020,2,Q2 2020,-5.0,-4.700000000000003
Gauteng,2020-07-01,10606.700847989401,6796.544648419649,4505.87447876784,2290.6701696518307,3810.1561995697834,64.1,42.5,35.922161416412685,33.7,2020,3,Q3 2020,7.300000000000004,2.700000000000003
Gauteng,2020-10-01,10634.26039559804,6935.406901304097,4569.942529278519,2365.4643720255553,3698.853494293988,65.2,43.0,34.78242356961086,34.1,2020,4,Q4 2020,0.3999999999999986,3.3000000000000007
Gauteng,2021-01-01,10703.913489465749,7052.191133214856,4625.985807468035,2426.205325746824,3651.722356250865,65.9,43.2,34.115768591032406,34.4,2021,1,Q1 2021,0.29999999999999716,3.0
Gauteng,2021-04-01,10752.770424541499,7196.19994667334,4648.295206291072,2547.9047403822697,3556.5704778681525,66.9,43.2,33.075852431021396,35.4,2021,2,Q2 2021,1.0,9.0
Gauteng,2021-07-01,10799.320827961177,7055.561693528385,4448.203024718604,2607.358668809791,3743.759134432761,65.3,41.2,34.66661648518857,37.0,2021,3,Q3 2021,1.6000000000000014,3.299999999999997
Gauteng,2021-10-01,10842.587365714146,7135.384912498791,4523.841493529536,2611.5434189692664,3707.2024532153255,65.8,41.7,34.191123651340035,36.6,2021,4,Q4 2021,-0.3999999999999986,2.5
Gauteng,2022-01-01,10886.052056651686,7243.461391400565,4585.8621910359725,2657.5992003646174,3642.5906652511044,66.5,42.1,33.46108071405707,36.7,2022,1,Q1 2022,0.10000000000000142,2.3000000000000043
Gauteng,2022-04-01,10929.713977767216,7301.676550599129,4786.7782358483555,2514.8983147507483,3628.0374271681058,66.8,43.8,33.194257732163905,34.4,2022,2,Q2 2022,-2.3000000000000043,-1.0
Gauteng,2022-07-01,10973.66877778255,7420.610890156648,4923.1047131387795,2497.5061770178836,3553.057887625977,67.6,44.9,32.378031081248615,33.7,2022,3,Q3 2022,-0.6999999999999957,-3.299999999999997
